L,H,C,Tau,Intercept_mu,Intercept_k,H_bigger_Int,Intercept?
0,0.8,2,0.05,0.827887862920761,0.34264,0,1
0,0.8,2,0.15,0.78313022851944,0.345694,1,1
0,0.8,2,0.25,0.766615927219391,0.346289,1,1
0,0.8,2,0.35,0.755839169025421,0.344321,1,1
0,0.8,2,0.45,0.74670684337616,0.340282,1,1
0,0.8,2,0.55,0.737498879432678,0.334158,1,1
0,0.8,4,0.05,0.808314174413681,0.187953,0,1
0,0.8,4,0.15,0.773544698953629,0.186082,1,1
0,0.8,4,0.25,0.761137902736664,0.184505,1,1
0,0.8,4,0.35,0.755362689495087,0.184018,1,1
0,0.8,4,0.45,0.749989569187164,0.182719,1,1
0,0.8,4,0.55,0.745422661304474,0.181498,1,1
0,0.8,4,0.65,0.739383816719055,0.179339,1,1
0,0.8,4,0.75,0.729833006858826,0.175549,1,1
0,0.8,6,0.05,0.79770590364933,0.128166,1,1
0,0.8,6,0.15,0.768072158098221,0.125803,1,1
0,0.8,6,0.25,0.758371144533157,0.124585,1,1
0,0.8,6,0.35,0.754368036985397,0.12431,1,1
0,0.8,6,0.45,0.750021874904633,0.123427,1,1
0,0.8,6,0.55,0.74748283624649,0.123128,1,1
0,0.8,6,0.65,0.743952333927155,0.122452,1,1
0,0.8,6,0.75,0.737290024757385,0.120769,1,1
0,0.8,6,0.85,0.723319172859192,0.117369,1,1
0,0.8,8,0.05,0.78730808198452,0.0959,1,1
0,0.8,8,0.15,0.763602837920189,0.09439,1,1
0,0.8,8,0.25,0.756906896829605,0.093876,1,1
0,0.8,8,0.35,0.754194110631943,0.093807,1,1
0,0.8,8,0.45,0.750676780939102,0.093232,1,1
0,0.8,8,0.55,0.748684912919998,0.093045,1,1
0,0.8,8,0.65,0.745270192623138,0.092438,1,1
0,0.8,8,0.75,0.741376936435699,0.091885,1,1
0,0.8,8,0.85,0.731119990348816,0.090102,1,1
0,0.8,10,0.05,0.782445773482323,0.07692,1,1
